year,county,undergrad,unemployment,income_percap,civ_labor,race_white,income_med,income_person,pop_res,net_mig,homeowner,crime,racical_dissim,snap,inc_ineq,discon_yth,burd_house,pre_death,patents,poverty,age_med,commute,age_pre_death,at_hpi,eq_sprime,poverty_perc,hisp_latin,privat_ests,buildings,poverty_u18,house_singp,pop_est,pop_perc,prevent_admin,assoc_deg,rel_chil_518,prec_rel_chil_518,pop_u18,perc_pop_u18,real_wage_coladj,date,countycode
1991,HENNEPIN,NaN,4.366666666666666,26183,616600,NaN,NaN,27314121,1043.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.83333333333333,NaN,NaN,NaN,NaN,62.19,NaN,NaN,NaN,34268.75,2410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,27
1991,HOUSTON,NaN,4.208333333333333,17155,9971.666666666666,NaN,NaN,318614,18.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.75,NaN,NaN,NaN,354.5,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,28
1991,HUBBARD,NaN,9,13595,6887.75,NaN,NaN,207846,15.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408.25,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,29
1991,ISANTI,NaN,7.058333333333334,16205,13489.25,NaN,NaN,427263,26.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.4,NaN,NaN,NaN,477.5,185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,30
1991,ITASCA,NaN,10.133333333333333,15195,18527.083333333332,NaN,NaN,625636,41.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,65.84,NaN,NaN,NaN,875.25,232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,31
1991,JACKSON,NaN,4.808333333333334,15278,5438,NaN,NaN,178111,11.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253.75,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,32
1991,KANABEC,NaN,10.258333333333333,14279,6709.5,NaN,NaN,183658,12.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,226.75,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,33
1991,KANDIYOHI,NaN,4.983333333333333,16562,19447.75,NaN,NaN,649551,39.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,69.23,NaN,NaN,NaN,1016.75,233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,34
1991,KITTSON,NaN,7.858333333333333,15444,2543.8333333333335,NaN,NaN,88107,5.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179.75,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,35
1991,KOOCHICHING,NaN,12.716666666666667,15133,6786.916666666667,NaN,NaN,236564,15.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430.5,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,36
