"","year","pctcode","congdist","r_factor"
"1491",2010,"2135","3",0.593685300207039
"1492",2010,"2140","3",0.390753169276659
"1493",2010,"2145","3",0.518675721561969
"1494",2010,"2150","3",0.573553719008264
"1495",2010,"2155","3",0.735792019347038
"1496",2010,"2160","3",0.673946957878315
"1497",2010,"2165","3",0.717492984097287
"1498",2010,"2170","3",0.727777777777778
"1499",2010,"2175","3",0.720754716981132
"1500",2010,"2180","3",0.726477024070022
"1501",2010,"2185","3",0.725388601036269
"1502",2010,"2190","3",0.683698296836983
"1503",2010,"2195","3",0.577402787967718
"1504",2010,"2200","3",0.643727598566308
"1505",2010,"2205","3",0.724987172909184
"1506",2010,"2210","3",0.716475095785441
"1507",2010,"2215","3",0.728643216080402
"1508",2010,"2220","3",0.357615894039735
"1509",2010,"2230","3",0.673218673218673
"1510",2010,"2240","3",0.681426106958022
"1511",2010,"2245","3",0.691533180778032
"1512",2010,"2250","3",0.642495784148398
"1513",2010,"2255","3",0.57684355616816
"1514",2010,"2260","3",0.589730015881419
"1515",2010,"2270","3",0.653005464480874
"1516",2010,"2275","3",0.586407766990291
"1517",2010,"2290","5",0.579457364341085
"1518",2010,"2295","5",0.570428015564202
"1519",2010,"2300","5",0.666005946481665
"1520",2010,"2305","5",0.66958041958042
"1521",2010,"2310","5",0.631758679567444
"1522",2010,"2315","5",0.493354182955434
"1523",2010,"2320","5",0.530012771392082
"1524",2010,"2325","5",0.5024
"1525",2010,"2330","5",0.638888888888889
"1526",2010,"2335","5",0.446989528795811
"1527",2010,"2336","5",0
"1528",2010,"2355","3",0.706757594544327
"1529",2010,"2360","3",0.670124481327801
"1530",2010,"2365","3",0.686338797814208
"1531",2010,"2370","3",0.726843657817109
"1532",2010,"2385","3",0.635632953784327
"1533",2010,"2400","3",0.492753623188406
"1534",2010,"2405","3",0.340620031796502
"1535",2010,"2410","3",0.645448323066393
"1536",2010,"2415","3",0.65891181988743
"1537",2010,"2420","3",0.656302521008403
"1538",2010,"2425","3",0.547075606276747
"1539",2010,"2430","3",0.69
"1540",2010,"2435","3",0.686458333333333
"1541",2010,"2440","3",0.683189655172414
"1542",2010,"2445","3",0.716547497446374
"1543",2010,"2450","3",0.590297790585975
"1544",2010,"2455","3",0.670562454346238
"1545",2010,"2460","3",0.697827518104016
"1546",2010,"2465","3",0.703853955375254
"1547",2010,"2470","3",0.596120935539076
"1548",2010,"2475","3",0.622006841505131
"1549",2010,"2480","3",0.569906790945406
"1550",2010,"2485","3",0.620203602192639
"1551",2010,"2490","3",0.475177304964539
"1552",2010,"2495","3",0.629524886877828
"1553",2010,"2500","3",0.625550660792952
"1554",2010,"2505","3",0.693839452395768
"1555",2010,"2510","3",0.678884026258206
"1556",2010,"2515","3",0.570240295748614
"1557",2010,"2520","3",0.540581929555896
"1558",2010,"2575","5",0.605501130369254
"1559",2010,"2580","5",0.550189393939394
"1560",2010,"2585","5",0.581105169340463
