,B27001_001E,B27001_002E,B29001_001E,B29001_002E,B29001_003E,B29001_004E,B29001_005E,B29002_001E,B29002_002E,B29002_003E,B29002_004E,B29002_005E,B29002_006E,B29002_007E,B29002_008E,B29003_001E,B29003_002E,B29003_003E,NAME,state,county,year
795,93311,45783,75461,18559,16675,22694,17533,75461,2518,5795,26982,17075,4649,12038,6404,71771,18154,53617,"Cabell County, West Virginia",54,011,2017
796,67152,32781,52745,8813,12052,18657,13223,52745,1959,4385,20630,11487,3796,6542,3946,51961,9111,42850,"Harrison County, West Virginia",54,033,2017
797,181498,86312,144639,24288,32215,51335,36801,144639,4113,12706,54898,28810,10147,20908,13057,142817,23695,119122,"Kanawha County, West Virginia",54,039,2017
798,103895,53328,84375,30127,19183,22589,12476,84375,958,5707,20382,24269,4404,16641,12014,79586,14756,64830,"Monongalia County, West Virginia",54,061,2017
799,72735,35775,59134,10455,13690,20030,14959,59134,1817,4293,24887,13641,3364,7391,3741,56680,9659,47021,"Raleigh County, West Virginia",54,081,2017
800,84601,40976,66686,11219,14778,23955,16734,66686,2306,4730,22736,15205,7774,8944,4991,65829,11225,54604,"Wood County, West Virginia",54,107,2017
801,258949,127625,189314,39303,46231,66651,37129,189314,2488,11834,55593,37557,22972,39385,19485,182996,15198,167798,"Brown County, Wisconsin",55,009,2017
802,532634,264369,400835,108087,100419,121852,70477,400835,2676,11973,75296,87734,37547,115978,69631,389355,45550,343805,"Dane County, Wisconsin",55,025,2017
803,83678,42982,68759,11688,16078,26039,14954,68759,1439,4893,28114,16149,7886,7455,2823,64704,4912,59792,"Dodge County, Wisconsin",55,027,2017
804,102932,50630,80010,23291,17134,23364,16221,80010,2124,2449,20148,21971,10713,14227,8378,76372,12049,64323,"Eau Claire County, Wisconsin",55,035,2017
805,100824,50163,78553,13911,16796,29507,18339,78553,1439,4603,28222,18015,9121,12053,5100,75660,5220,70440,"Fond du Lac County, Wisconsin",55,039,2017
806,84384,42173,64812,12673,14477,23814,13848,64812,1825,3082,19669,16492,8954,9905,4885,62061,4971,57090,"Jefferson County, Wisconsin",55,055,2017
807,166567,81603,123515,26379,28835,46190,22111,123515,2490,7635,41094,30741,11748,20031,9776,119792,10916,108876,"Kenosha County, Wisconsin",55,059,2017
808,116888,56691,93565,26022,20368,28648,18527,93565,2011,3901,25768,25010,11275,18333,7267,88920,11846,77074,"La Crosse County, Wisconsin",55,063,2017
809,78867,38841,61954,9853,13066,23441,15594,61954,1266,3138,22298,15459,8628,8024,3141,61554,4649,56905,"Manitowoc County, Wisconsin",55,071,2017
810,134664,67387,102107,18260,23506,37395,22946,102107,3030,4356,36670,19536,13866,16189,8460,101065,9190,91875,"Marathon County, Wisconsin",55,073,2017
811,943010,455120,679123,164881,173996,217542,122704,679123,17034,49243,204707,164115,49532,125132,69360,660962,107977,552985,"Milwaukee County, Wisconsin",55,079,2017
812,184770,91643,139291,26305,36593,49921,26472,139291,1715,6488,42373,29787,20492,26157,12279,136692,8963,127729,"Outagamie County, Wisconsin",55,087,2017
813,87967,43425,68200,11317,13828,26002,17053,68200,1116,2605,13831,13543,5382,19898,11825,66481,3711,62770,"Ozaukee County, Wisconsin",55,089,2017
814,70242,35360,55713,15978,11282,17194,11259,55713,1014,1829,17188,14766,5665,11244,4007,52777,7346,45431,"Portage County, Wisconsin",55,097,2017
815,191206,93038,147299,27950,33497,54576,31276,147299,2794,9146,47931,37364,13011,24448,12605,142607,11092,131515,"Racine County, Wisconsin",55,101,2017
816,161115,78843,119665,22928,28053,43152,25532,119665,2658,7033,44562,27176,14398,16625,7213,117578,12028,105550,"Rock County, Wisconsin",55,105,2017
817,87961,43896,65310,10848,17290,25186,11986,65310,636,2240,17987,14855,8350,14547,6695,64662,2368,62294,"St. Croix County, Wisconsin",55,109,2017
818,113104,56453,87536,14864,20426,32020,20226,87536,1921,4596,30885,20401,9757,14239,5737,84837,6302,78535,"Sheboygan County, Wisconsin",55,117,2017
819,102434,51260,78947,18670,15098,27451,17728,78947,869,4403,24275,21862,5979,13964,7595,76416,8564,67852,"Walworth County, Wisconsin",55,127,2017
820,134410,67989,104574,16285,23724,41369,23196,104574,1576,4336,31343,25104,11345,22272,8598,103986,5473,98513,"Washington County, Wisconsin",55,131,2017
821,398019,195667,305851,49357,67126,117434,71934,305851,3192,9252,73440,64003,27476,87827,40661,302011,13886,288125,"Waukesha County, Wisconsin",55,133,2017
822,165566,81668,132399,31132,29697,45064,26506,132399,1555,6501,45972,31508,12032,24623,10208,125032,13384,111648,"Winnebago County, Wisconsin",55,139,2017
823,72556,35989,55931,8619,11986,20689,14637,55931,1006,2698,20248,13655,7708,6914,3702,55378,5842,49536,"Wood County, Wisconsin",55,141,2017
824,94272,46849,73994,16628,18296,24088,14982,73994,863,4302,20074,20133,9399,11217,8006,72444,6571,65873,"Laramie County, Wyoming",56,021,2017
825,78412,39268,57436,10836,15609,19723,11268,57436,735,2981,18299,15352,6841,8703,4525,56095,6184,49911,"Natrona County, Wyoming",56,025,2017
826,85131,40334,69405,13995,15232,22057,18121,69405,10234,4648,17878,12379,8209,12170,3887,68669,30406,38263,"Arecibo Municipio, Puerto Rico",72,013,2017
827,173261,78537,143197,29624,32215,43840,37518,143197,16336,10683,36840,27876,14291,26181,10990,137059,41757,95302,"Bayam?n Municipio, Puerto Rico",72,021,2017
828,129260,59737,103124,20686,24303,32935,25200,103124,11161,5674,28603,19810,9547,20015,8314,102929,39619,63310,"Caguas Municipio, Puerto Rico",72,025,2017
829,153773,70034,121750,24291,26427,37940,33092,121750,9838,5008,30858,24371,14854,27367,9454,121209,27475,93734,"Carolina Municipio, Puerto Rico",72,031,2017
830,86596,40317,70495,12591,17448,21992,18464,70495,6264,2808,12200,11588,7539,19634,10462,70257,17640,52617,"Guaynabo Municipio, Puerto Rico",72,061,2017
831,75081,35857,59642,14696,11039,16608,17299,59642,10514,5515,15318,11395,2669,10026,4205,58971,27397,31574,"Mayag?ez Municipio, Puerto Rico",72,097,2017
832,136943,64019,111762,23854,24030,34553,29325,111762,15181,9576,38652,14842,7161,18549,7801,107869,52386,55483,"Ponce Municipio, Puerto Rico",72,113,2017
833,334041,151443,257970,52678,55197,79161,70934,257970,26314,15411,56528,38556,27670,56428,37063,253714,87923,165791,"San Juan Municipio, Puerto Rico",72,127,2017
834,72914,35925,57620,13030,14620,20013,9957,57620,5663,4402,15693,10493,6869,11446,3054,57532,17103,40429,"Toa Alta Municipio, Puerto Rico",72,135,2017
835,78034,35904,61287,12620,14757,19399,14511,61287,7119,4737,16525,11444,5082,11567,4813,61229,19839,41390,"Toa Baja Municipio, Puerto Rico",72,137,2017
836,66458,30379,52409,10693,12828,16758,12130,52409,5100,2536,12303,9244,5866,12058,5302,52192,13243,38949,"Trujillo Alto Municipio, Puerto Rico",72,139,2017
