,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
432,30832,,62464,2245,1928,1640,38217,28211,27241,25748,,,,,,,,29217,16548,12032,2309,2207,12669,9350,57446,13257,13020,807,497,3050,0,43,32618,,,1945,1141,663,390,271,7,39,67868,3270,2070,1167,4948,49060,"Grand Forks County, North Dakota",38,035,2014
433,30760,,61191,2990,1430,1026,36537,27941,26444,24395,,,,,,,,26091,16548,14276,871,1401,9543,7506,56039,12201,14733,900,603,1456,169,418,32404,,,551,458,58,106,14,99,72,66301,1251,1215,1177,7284,44074,"Ward County, North Dakota",38,101,2014
434,42747,,87361,12823,282,580,86154,17780,39812,39662,,,,,,,,39412,26033,18721,1687,5625,13379,11229,84426,15026,20329,1239,1256,5444,52,502,50595,,,1576,833,846,883,964,332,344,102293,3283,3156,653,6876,73432,"Allen County, Ohio",39,003,2014
435,44025,2212,92024,3482,106,148,77458,18529,37868,36908,,,,,,,,38891,26253,19012,2022,5219,12638,10948,80620,12606,21255,1723,1446,5331,0,579,47807,,,825,1093,891,659,1062,712,174,95874,3023,3115,266,8934,67516,"Ashtabula County, Ohio",39,007,2014
436,32139,,64889,2882,71,330,38960,29162,28427,26722,,,,,,,,27205,17838,13205,1498,3135,9367,8281,58578,10151,14657,1369,1060,3875,0,268,33093,,,300,216,899,535,750,47,52,65633,2601,2202,336,5789,50404,"Belmont County, Ohio",39,013,2014
437,151273,8560,320078,31702,1052,10258,266189,83148,126146,136576,165322,150639,410,93,3329,771,7658,134613,92663,69822,6666,16175,41950,32976,298878,47589,76590,5436,3200,17230,67,1503,183681,,,3691,2060,1866,2281,1192,135,368,370950,8760,4958,6807,21684,261382,"Butler County, Ohio",39,017,2014
438,55802,,117809,10831,367,1042,107017,25095,48842,53571,53634,48031,713,100,1839,481,2225,55199,36642,24596,3516,8530,18557,16414,110788,17204,26966,2351,1279,7367,75,963,68072,,,1025,1334,734,1118,1123,210,181,134627,4814,3428,868,12363,92738,"Clark County, Ohio",39,023,2014
439,93129,,191094,2567,322,2808,146819,48825,73578,76130,90204,84756,462,246,880,857,4805,75561,54489,43388,3530,7571,21072,17580,161578,24035,46827,2953,1423,7172,561,355,98274,,,946,1329,1230,997,718,291,221,200263,4108,2689,3498,13619,139803,"Clermont County, Ohio",39,025,2014
440,366724,33517,794957,376247,4228,35863,923316,229634,423669,483402,497586,458666,29142,2435,17192,4331,21955,535295,302256,191017,24692,86547,233039,201301,1037396,206624,211514,16868,14611,54096,958,6054,639004,27916,16037,12101,12172,9410,12043,10816,4926,1884,1244943,60227,33958,21279,72982,915630,"Cuyahoga County, Ohio",39,035,2014
441,81007,,167501,6536,71,9037,129353,45674,61536,63979,88250,83223,274,182,669,811,6739,66615,50696,43944,2016,4736,15919,12690,145786,18253,46049,1031,1249,5860,0,162,92715,,,623,272,386,855,752,358,51,188180,1732,1272,9352,9675,127136,"Delaware County, Ohio",39,041,2014
442,30511,,65435,6586,0,425,61488,12746,28172,30424,,,,,,,,31492,19007,14244,474,4289,12485,10300,63225,9884,15384,1000,729,4452,0,218,37024,,,699,726,455,631,512,165,82,74825,1809,1265,680,6164,53694,"Erie County, Ohio",39,043,2014
443,65304,,133585,10047,122,2020,116445,28941,54475,55478,,,,,,,,55316,40916,31587,2994,6335,14400,12541,120858,17472,34090,2029,1793,6534,10,481,71987,,,209,495,256,859,820,194,136,147728,2560,1867,2612,11341,102241,"Fairfield County, Ohio",39,045,2014
444,395474,32953,847633,263041,1343,54985,817395,282682,396169,433796,560965,511394,15410,4170,14427,4550,24243,486877,290718,195503,22595,72620,196159,152402,984466,198608,219510,18934,9878,46505,985,4283,606049,23898,17489,16744,12368,9110,9829,6892,2393,1515,1223824,38892,25128,21763,66304,873282,"Franklin County, Ohio",39,049,2014
445,44602,,90952,1029,299,670,75933,15662,33835,35106,40503,36160,414,54,1227,750,3422,35450,27393,22284,1283,3826,8057,6497,75851,9480,24182,893,889,2601,0,239,46207,,,142,361,301,342,476,26,0,93583,1349,1331,2630,5448,65945,"Geauga County, Ohio",39,055,2014
446,67950,,141689,12063,218,4977,106364,46863,60019,62622,,,,,,,,64527,43012,34198,2445,6369,21515,18493,136079,22373,35005,1061,905,7520,0,744,80594,,,1430,1412,1168,728,504,187,115,160503,4911,2775,3455,15919,112186,"Greene County, Ohio",39,057,2014
447,262121,12421,551212,208216,614,17963,577758,182103,274255,309965,332699,301518,15795,1298,11353,4042,16482,335137,190347,125789,15291,49267,144790,120246,649384,127528,139484,11566,8933,32598,177,2723,402147,,,10467,6574,5641,6123,7150,2471,1285,798615,37535,19459,17133,43268,575551,"Hamilton County, Ohio",39,061,2014
448,33014,,70180,1165,0,1557,58658,13274,26620,29217,,,,,,,,31747,20248,15742,1056,3450,11499,9443,61316,8357,16704,1231,925,3716,0,113,37401,,,374,347,422,333,469,361,34,74515,1751,1181,1165,5054,53302,"Hancock County, Ohio",39,063,2014
449,99564,4642,212403,7896,274,3147,180938,36222,82206,87801,109826,102956,668,117,2028,440,4182,95116,60636,46099,4649,9888,34480,28263,190559,30301,49766,2314,3228,8310,265,788,114900,,,1274,779,908,1180,940,361,397,227104,3808,3380,3031,15342,166066,"Lake County, Ohio",39,085,2014
450,75899,,156790,5971,118,1761,132622,31981,60735,65515,,,,,,,,65290,44138,34789,1556,7793,21152,17742,136620,20362,37543,2124,1504,6535,0,153,84277,,,1491,832,1234,1187,846,165,191,168108,3805,3048,2373,13776,115581,"Licking County, Ohio",39,089,2014
